233.8369 46.7957	-2603.3354 11.2662
232.9841 46.9920	-2623.6990 11.4647
232.9842 46.9920	-2623.6702 11.4644
232.0779 47.1642	-2699.4324 11.6319
232.0777 47.1643	-2699.4331 11.6317
231.1884 47.3358	-2639.8806 11.6907
231.1887 47.3358	-2640.0740 11.6475
230.2924 47.5305	-2721.3181 11.8371
230.2922 47.5315	-2721.5046 11.8341
235.5495 47.0801	-59.0604 11.1100
235.5494 47.0804	-59.0598 11.1087
234.4656 47.3188	-1528.9557 11.2735
234.4654 47.3178	-1531.6448 11.2285
233.5847 47.5096	-2358.6809 11.4662
233.5832 47.5111	-2353.6331 11.5111
231.8028 47.8725	-2656.4441 11.7069
231.8028 47.8728	-2656.4409 11.7066
229.9967 48.2065	-2685.4373 11.8780
229.9981 48.2054	-2685.3254 11.9103
229.9947 48.2047	-2686.7302 11.8762
234.8604 47.8913	-262.7790 11.3112
234.8602 47.8913	-262.9345 11.3111
232.9158 48.1500	-2582.2156 11.5708
232.9132 48.1510	-2582.2446 11.5188
232.1708 48.4810	-2587.4387 11.7619
232.1707 48.4811	-2587.4241 11.7627
231.2614 48.6270	-2412.9954 11.8851
233.8075 48.7677	-228.6695 11.4514
233.8074 48.7679	-228.6674 11.4520
233.2779 49.1504	-247.0061 9.9792
233.2778 49.1504	-247.1368 9.9792
234.3996 48.3070	-208.3714 11.3466
234.3988 48.3069	-208.9390 11.3482
233.8960 47.8883	-1674.1357 11.4031
233.8954 47.8884	-1674.5413 11.4019
234.8078 47.5581	-677.3415 11.1721
234.8077 45.5584	-1524.2932 10.9210
235.0654 46.1735	-1052.9170 11.1169
235.0655 46.1735	-1052.6063 11.1608
235.0732 45.5295	-1322.6832 11.0591
235.0739 45.5287	-1320.0580 11.0614
234.8832 44.8987	-1434.0663 10.8894
234.8832 44.8988	-1433.9727 10.8893
235.1047 44.1187	-285.7126 10.9550
235.1046 44.1185	-286.0453 10.9550
234.9411 44.2497	-1041.5425 10.8791
235.0272 43.6248	-989.3467 10.7661
234.9829 42.9320	-1210.0999 10.7693
235.0539 42.1840	-1136.8037 10.8131
235.1404 41.6715	-931.6998 10.7021
234.9554 43.5973	-1162.3563 10.7908
235.4103 40.9850	-681.0923 10.6265
235.0221 42.9136	-955.3949 10.7141
235.0926 42.2107	-989.0991 10.7601
235.1929 41.6618	-876.6841 10.7157
235.3702 41.0370	-813.8289 10.6428
235.0288 44.8871	-915.5078 10.9633
